rating,review,ai_response,ai_summary,ai_action
5,"“Amazing food and service, loved it!”","Thank you so much for your kind words, we're thrilled you enjoyed your experience!","Customer loved the food and service, giving a 5-star rating",Share this review on social media to showcase customer satisfaction
5,"“Amazing food and service, loved it!”","Thank you so much for your kind words, we're thrilled you enjoyed your experience!",Customer loved the food and service,Share this review on social media to attract more customers
3,"“Average food, slow service.”",Thank you for sharing your feedback. Sorry to hear that our food and service didn't quite meet your expectations.,Customer had an average experience with slow service,Review service staffing and food preparation processes to improve overall customer experience
1,"“Terrible experience, not coming back.”",Sorry to hear that you had a terrible experience. We'll do our best to learn from this and improve.,Customer had a very poor experience and does not plan to return.,Reach out to the customer to apologize and gather more feedback to identify areas for improvement.
2,"""The experience was just OK""",Thank you for sharing your feedback. Sorry to hear that your experience was just okay. We'll take this into consideration for future improvements.,Customer had an average experience,Reach out to the customer for more specific feedback to understand areas for improvement
1,"""Terrible experience""",Sorry to hear that you had a terrible experience. We'll do our best to make it right.,Customer had a very poor experience,Contact the customer to apologize and gather more feedback
1,"""worst service ever""",Sorry to hear that you had a poor experience. Can you please provide more details so we can make it right?,Customer had a very bad service experience,Contact the customer to apologize and resolve the issue
2,"""bad experience""",Sorry to hear that you had a bad experience. Can you please tell us more so we can make it right?,Customer had a bad experience,Contact the customer for more feedback and resolution
2,"""A lot of improvement is required""",Thank you for sharing your feedback. We're sorry to hear that our service didn't meet your expectations and will work on improving.,Customer is dissatisfied and requires significant improvement,Contact the customer to understand specific areas of improvement and provide a personalized solution
2,"""You should be more good""",Thank you for sharing your thoughts with us. We'll do our best to improve.,Customer thinks the business can be better,Gather more specific feedback from the customer to identify areas for improvement
3,"""Hope for improvement""","Thank you for sharing your thoughts, we'll take them into consideration for future improvements!",The user hopes for improvement in their experience,Reach out to the user for more specific feedback to identify areas of improvement
3,"""Just an average experience""","Thank you for sharing your feedback. Sorry to hear it was just an average experience, we'll strive to do better next time.",The customer had an average experience,Reach out to the customer to understand their expectations and gather more feedback
3,"""Let us down this time. expecting more professionalism""",Sorry to hear that we didn't meet your expectations this time. We'll do our best to improve and provide a better experience in the future.,Customer felt let down by lack of professionalism,Reach out to the customer to apologize and understand their concerns
3,"""not fully professional. should be better""",Thank you for sharing your feedback. Sorry to hear that our service didn't quite meet your expectations. We'll do our best to improve.,Customer felt the service was not fully professional,Review customer service protocols and provide additional staff training to improve professionalism
4,"""Good experience. but needs a bit improvement""",Thank you for sharing your feedback! We're glad you had a good experience and will definitely look into areas for improvement.,Customer had a generally positive experience but noted some areas for improvement,Reach out to the customer for more specific feedback to identify areas for improvement
3,"""Experience was just OK . Need to be a little faster""",Thank you for sharing your feedback. Sorry to hear our service was not as speedy as you'd like. We'll work on improving our timing.,Customer had an average experience and felt the service was slow,Review and optimize service processes to reduce wait times
4,"""Everything was Good but the work speed need to work on it.""","Thank you for your feedback, we're glad you were satisfied overall and we'll work on improving our work speed.",Customer was satisfied with the service but felt the work speed needed improvement.,Review and optimize workflow processes to increase efficiency and speed
4,"""very good. Be perfect from next time.""",Thank you for your feedback! We'll strive to be perfect next time.,Customer had a very good experience but sees room for improvement,Review customer interactions to identify areas for improvement and implement changes
5,"""Everything was perfect""","Thank you so much for your kind words, we're thrilled to have met your expectations!",Customer had a perfect experience,"No action required, customer is completely satisfied"
5,"""Perfect""",Thank you so much for your kind words! We're thrilled you had a perfect experience.,User had a perfect experience,Reach out to the user to express gratitude and ask if they'd like to share more about their positive experience
5,"""Excellent""",Thank you for your excellent review! We're thrilled you had a great experience.,User had an excellent experience and gave a 5-star rating,Reach out to the user to thank them personally and ask if they'd like to share more about their positive experience
5,"""Great""",Thank you for your wonderful review! We're thrilled you had a great experience.,User had a great experience and gave a 5-star rating,Reach out to the user to thank them personally and ask if they'd like to share more about their positive experience
5,"""Great will recommend it definitely.""","Thank you so much for your kind words, we're thrilled you had a great experience!",Customer had a great experience and will recommend,Reach out to the customer to thank them and encourage them to share their experience on social media
5,just perfect experience,Thank you so much for your kind words! We're thrilled you had a perfect experience.,User had a perfect experience,Share this review on social media to showcase customer satisfaction
3,The service was just average.,Thank you for sharing your feedback. We're sorry to hear our service was just average and we'll work to improve it.,Customer found the service to be average,Contact the customer to understand their expectations and gather more feedback
